Jenis,Kecamatan,Tahun,RTP,Produksi (Ton)
Tambak,Johan Pahlawan,2020,24,3500
Tambak,Samatiga,2020,118,72240
Tambak,Bubon,2020,0,0
Tambak,Arongan Lambalek,2020,3,40820
Tambak,Woyla,2020,0,0
Tambak,Woyla Barat,2020,0,0
Tambak,Woyla Timur,2020,0,0
Tambak,Kaway XVI,2020,0,0
Tambak,Meureubo,2020,17,85660
Tambak,Pante Ceureumen,2020,0,0
Tambak,Panton Reu,2020,0,0
Tambak,Sungai Mas,2020,0,0
Kolam Air Tawar,Johan Pahlawan,2020,38,20910
Kolam Air Tawar,Samatiga,2020,98,35520
Kolam Air Tawar,Bubon,2020,40,6130
Kolam Air Tawar,Arongan Lambalek,2020,30,10190
Kolam Air Tawar,Woyla,2020,45,5490
Kolam Air Tawar,Woyla Barat,2020,19,3060
Kolam Air Tawar,Woyla Timur,2020,13,5350
Kolam Air Tawar,Kaway XVI,2020,92,11840
Kolam Air Tawar,Meureubo,2020,35,10440
Kolam Air Tawar,Pante Ceureumen,2020,15,4460
Kolam Air Tawar,Panton Reu,2020,16,3880
Kolam Air Tawar,Sungai Mas,2020,13,4560
Keramba Tancap,Johan Pahlawan,2020,0,0
Keramba Tancap,Samatiga,2020,0,0
Keramba Tancap,Bubon,2020,0,0
Keramba Tancap,Arongan Lambalek,2020,0,0
Keramba Tancap,Woyla,2020,0,0
Keramba Tancap,Woyla Barat,2020,0,0
Keramba Tancap,Woyla Timur,2020,0,0
Keramba Tancap,Kaway XVI,2020,0,0
Keramba Tancap,Meureubo,2020,0,0
Keramba Tancap,Pante Ceureumen,2020,0,0
Keramba Tancap,Panton Reu,2020,0,0
Keramba Tancap,Sungai Mas,2020,0,0
Keramba Jaring Apung,Johan Pahlawan,2020,0,0
Keramba Jaring Apung,Samatiga,2020,0,0
Keramba Jaring Apung,Bubon,2020,0,0
Keramba Jaring Apung,Arongan Lambalek,2020,0,0
Keramba Jaring Apung,Woyla,2020,0,0
Keramba Jaring Apung,Woyla Barat,2020,0,0
Keramba Jaring Apung,Woyla Timur,2020,0,0
Keramba Jaring Apung,Kaway XVI,2020,0,0
Keramba Jaring Apung,Meureubo,2020,0,0
